id,entry_date,entry_time,total,items,created_at
e_1788692380344,2026-09-06,16:44,185,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}, {""qty"": 1, ""name"": ""Personal Care"", ""amount"": 110}, {""qty"": 2, ""name"": ""Stationery & Miscellaneous"", ""amount"": 65}]",2026-09-06 10:59:40.031033+00
e_1788691471650,2026-09-06,16:36,1623,[],2026-09-06 10:44:32.185594+00
e_1788691006914,2026-09-06,16:36,40,[],2026-09-06 10:36:46.652717+00
e_1788690974722,2026-09-05,19:15,40,[],2026-09-06 10:36:15.382363+00
e_1788679414275,2026-09-06,13:15,72,[],2026-09-06 07:23:34.45391+00
e_1788678866646,2026-09-05,19:15,10,[],2026-09-06 07:14:26.839187+00
e_1788678348068,2026-09-05,19:15,40,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}]",2026-09-06 07:05:48.422305+00
e_1788677791526,2026-09-06,12:56,10,[],2026-09-06 06:56:32.03363+00
e_1788676959231,2026-09-06,12:39,49,[],2026-09-06 06:42:39.489202+00
e_1788676741049,2026-09-06,12:32,20,"[{""qty"": 5, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}, {""qty"": 1, ""name"": ""Snacks & Chips"", ""amount"": 10}]",2026-09-06 06:39:01.450816+00
e_1788676375569,2026-09-06,12:31,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-06 06:32:55.726956+00
e_1788676302235,2026-09-06,12:19,12,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 12}]",2026-09-06 06:31:42.885076+00
e_1788675587112,2026-09-05,19:15,40,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 35}, {""qty"": 2, ""name"": ""Chocolates & Confectionery"", ""amount"": 5}]",2026-09-06 06:19:47.792371+00
e_1788674055013,2026-09-05,19:15,30,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}, {""qty"": 1, ""name"": ""Snacks & Chips"", ""amount"": 10}]",2026-09-06 05:54:15.912799+00
e_1788672625034,2026-09-06,11:18,60,"[{""qty"": 6, ""name"": ""Cigarettes & Tobacco"", ""amount"": 60}]",2026-09-06 05:30:25.608258+00
e_1788671936052,2026-09-06,11:11,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-06 05:18:56.691583+00
e_1788671487043,2026-09-06,11:11,40,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}]",2026-09-06 05:11:26.892442+00
e_1788671454185,2026-09-06,11:00,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-06 05:10:54.067025+00
e_1788670848107,2026-09-05,19:15,40,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}]",2026-09-06 05:00:48.967511+00
e_1788670123634,2026-09-06,10:42,35,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 35}]",2026-09-06 04:48:44.081378+00
e_1788669762924,2026-09-05,19:15,50,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}, {""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}]",2026-09-06 04:42:43.808252+00
e_1788665912993,2026-09-06,09:36,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-06 03:38:33.269589+00
e_1788665808456,2026-09-06,09:18,50,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}, {""qty"": 1, ""name"": ""Stationery & Miscellaneous"", ""amount"": 10}]",2026-09-06 03:36:49.610288+00
e_1788664721806,2026-09-06,09:18,42,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 42}]",2026-09-06 03:18:42.63572+00
e_1788663230332,2026-09-06,08:52,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-06 02:53:50.708057+00
e_1788663138429,2026-09-06,08:37,24,"[{""qty"": 2, ""name"": ""Dairy & Eggs"", ""amount"": 24}]",2026-09-06 02:52:19.139966+00
e_1788662275834,2026-09-06,08:36,70,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}, {""qty"": 6, ""name"": ""Chocolates & Confectionery"", ""amount"": 30}]",2026-09-06 02:37:56.096431+00
e_1788662218204,2026-09-05,19:15,70,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}, {""qty"": 6, ""name"": ""Chocolates & Confectionery"", ""amount"": 30}]",2026-09-06 02:36:58.259234+00
e_1788624249567,2026-09-05,19:15,340,"[{""qty"": 30, ""name"": ""Dairy & Eggs"", ""amount"": 340}]",2026-09-05 16:04:10.437969+00
e_1788623463265,2026-09-05,21:13,42,"[{""qty"": 2, ""name"": ""Biscuits & Bakery"", ""amount"": 20}, {""qty"": 1, ""name"": ""Rice, Dal & Grains"", ""amount"": 22}]",2026-09-05 15:51:04.285229+00
e_1788621201751,2026-09-05,21:10,140,"[{""qty"": 2, ""name"": ""Cold Drinks & Beverages"", ""amount"": 80}, {""qty"": 1, ""name"": ""Cooking Essentials"", ""amount"": 60}]",2026-09-05 15:13:22.417039+00
e_1788621001424,2026-09-05,20:56,60,"[{""qty"": 10, ""name"": ""Cigarettes & Tobacco"", ""amount"": 60}]",2026-09-05 15:10:03.044699+00
e_1788620191429,2026-09-05,20:54,25,"[{""qty"": 1, ""name"": ""Cooking Essentials"", ""amount"": 25}]",2026-09-05 14:56:31.851007+00
e_1788620079251,2026-09-05,20:54,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 14:54:39.482643+00
e_1788620071784,2026-09-05,20:51,58,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}, {""qty"": 4, ""name"": ""Dairy & Eggs"", ""amount"": 48}]",2026-09-05 14:54:32.649808+00
e_1788619868814,2026-09-05,20:25,30,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}, {""qty"": 2, ""name"": ""Biscuits & Bakery"", ""amount"": 20}]",2026-09-05 14:51:10.018321+00
e_1788618344199,2026-09-05,20:18,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 14:25:45.120063+00
e_1788617891972,2026-09-05,20:14,30,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 30}]",2026-09-05 14:18:12.651906+00
e_1788617682249,2026-09-05,20:05,32,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 12}, {""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 20}]",2026-09-05 14:14:43.002701+00
e_1788617134525,2026-09-05,20:00,60,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}, {""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 30}, {""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 10}]",2026-09-05 14:05:35.208539+00
e_1788616840124,2026-09-05,19:54,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 14:00:41.184183+00
e_1788616480621,2026-09-05,19:50,160,"[{""qty"": 20, ""name"": ""Cigarettes & Tobacco"", ""amount"": 160}]",2026-09-05 13:54:41.431407+00
e_1788616109540,2026-09-05,19:39,35,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 35}]",2026-09-05 13:48:30.685909+00
e_1788615591093,2026-09-05,19:38,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 13:39:51.691746+00
e_1788615488040,2026-09-05,19:15,92,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 92}]",2026-09-05 13:38:09.676094+00
e_1788614138465,2026-09-05,19:15,40,"[{""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 40}]",2026-09-05 13:15:40.698484+00
e_1788613912957,2026-09-05,19:08,20,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}]",2026-09-05 13:11:54.95335+00
e_1788613694121,2026-09-05,18:58,62,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 32}, {""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 30}]",2026-09-05 13:08:15.25065+00
e_1788613108091,2026-09-05,18:56,20,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}]",2026-09-05 12:58:29.172783+00
e_1788612968803,2026-09-05,18:53,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 12:56:10.525224+00
e_1788612806472,2026-09-05,18:48,100,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 90}, {""qty"": 5, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}]",2026-09-05 12:53:27.916878+00
e_1788612526905,2026-09-05,17:02,18,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 18}]",2026-09-05 12:48:47.725387+00
e_1788612386345,2026-09-05,18:43,60,"[{""qty"": 2, ""name"": ""Biscuits & Bakery"", ""amount"": 40}, {""qty"": 2, ""name"": ""Snacks & Chips"", ""amount"": 20}]",2026-09-05 12:46:27.236463+00
e_1788612235001,2026-09-05,17:02,20,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}]",2026-09-05 12:43:56.148533+00
e_1788611559947,2026-09-05,18:27,63,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 23}, {""qty"": 2, ""name"": ""Cold Drinks & Beverages"", ""amount"": 40}]",2026-09-05 12:32:41.082794+00
e_1788611241651,2026-09-05,18:22,21,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 21}]",2026-09-05 12:27:22.53463+00
e_1788610956579,2026-09-05,18:19,10,"[{""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 5}, {""qty"": 1, ""name"": ""Biscuits & Bakery"", ""amount"": 5}]",2026-09-05 12:22:37.453896+00
e_1788610751286,2026-09-05,18:15,234,"[{""qty"": 6, ""name"": ""Cigarettes & Tobacco"", ""amount"": 94}, {""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 20}, {""qty"": 2, ""name"": ""Rice, Dal & Grains"", ""amount"": 120}]",2026-09-05 12:19:12.053457+00
e_1788610502523,2026-09-05,18:11,15,"[{""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 5}, {""qty"": 1, ""name"": ""Biscuits & Bakery"", ""amount"": 10}]",2026-09-05 12:15:03.768662+00
e_1788610268429,2026-09-05,18:09,10,"[{""qty"": 2, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}]",2026-09-05 12:11:09.246296+00
e_1788610156955,2026-09-05,18:07,10,"[{""qty"": 5, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}]",2026-09-05 12:09:17.740737+00
e_1788610066142,2026-09-05,17:02,10,"[{""qty"": 2, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}]",2026-09-05 12:07:47.634893+00
e_1788608772182,2026-09-05,17:39,15,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}, {""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 5}]",2026-09-05 11:46:13.304083+00
e_1788608362930,2026-09-05,17:33,40,"[{""qty"": 2, ""name"": ""Snacks & Chips"", ""amount"": 40}]",2026-09-05 11:39:24.012136+00
e_1788607981428,2026-09-05,17:26,34,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 24}, {""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 5}, {""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 5}]",2026-09-05 11:33:02.396745+00
e_1788607618861,2026-09-05,17:20,5,"[{""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 5}]",2026-09-05 11:26:59.748935+00
e_1788607247920,2026-09-05,17:19,10,"[{""qty"": 5, ""name"": ""Personal Care"", ""amount"": 10}]",2026-09-05 11:20:48.567685+00
e_1788607146530,2026-09-05,17:15,40,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 30}, {""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 10}]",2026-09-05 11:19:07.512918+00
e_1788606914083,2026-09-05,17:13,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 11:15:14.775449+00
e_1788606818237,2026-09-05,17:11,50,"[{""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 10}, {""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}, {""qty"": 3, ""name"": ""Biscuits & Bakery"", ""amount"": 30}]",2026-09-05 11:13:39.122271+00
e_1788606682008,2026-09-05,17:03,20,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}]",2026-09-05 11:11:23.294256+00
e_1788606207704,2026-09-05,17:02,20,"[{""qty"": 2, ""name"": ""Biscuits & Bakery"", ""amount"": 20}]",2026-09-05 11:03:29.265359+00
e_1788605002072,2026-09-05,16:37,40,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 30}, {""qty"": 1, ""name"": ""Household & Cleaning"", ""amount"": 10}]",2026-09-05 10:43:23.033105+00
e_1788604667291,2026-09-05,16:33,40,"[{""qty"": 4, ""name"": ""Cigarettes & Tobacco"", ""amount"": 40}]",2026-09-05 10:37:48.137912+00
e_1788604387111,2026-09-05,13:02,215,"[{""qty"": 14, ""name"": ""Cigarettes & Tobacco"", ""amount"": 215}]",2026-09-05 10:33:08.502795+00
e_1788594301159,2026-09-05,13:02,80,"[{""qty"": null, ""name"": ""Cigarettes & Tobacco"", ""amount"": 80}]",2026-09-05 07:45:02.375485+00
e_1788592456718,2026-09-05,13:02,10,"[{""qty"": 2, ""name"": ""Ice Cream & Frozen"", ""amount"": 10}]",2026-09-05 07:14:17.456506+00
e_1788592353458,2026-09-05,13:02,50,"[{""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 20}, {""qty"": 1, ""name"": ""Biscuits & Bakery"", ""amount"": 10}, {""qty"": 1, ""name"": ""Noodles & Instant Food"", ""amount"": 10}, {""qty"": 1, ""name"": ""Stationery & Miscellaneous"", ""amount"": 10}]",2026-09-05 07:12:34.494002+00
e_1788591571315,2026-09-05,12:54,60,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}, {""qty"": 2, ""name"": ""Biscuits & Bakery"", ""amount"": 40}]",2026-09-05 06:59:32.370866+00
e_1788591251739,2026-09-05,12:50,160,"[{""qty"": 4, ""name"": ""Biscuits & Bakery"", ""amount"": 40}, {""qty"": 2, ""name"": ""Canned & Packaged Food"", ""amount"": 120}]",2026-09-05 06:54:13.888976+00
e_1788591042660,2026-09-05,12:49,30,"[{""qty"": 3, ""name"": ""Ice Cream & Frozen"", ""amount"": 30}]",2026-09-05 06:50:43.667863+00
e_1788590923174,2026-09-05,08:54,20,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}]",2026-09-05 06:48:44.834527+00
e_1788588802109,2026-09-05,11:45,10,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-05 06:13:23.485919+00
e_1788587112871,2026-09-05,08:54,8,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 8}]",2026-09-05 05:45:14.296951+00
e_1788584588941,2026-09-05,08:54,30,"[{""qty"": 3, ""name"": ""Cigarettes & Tobacco"", ""amount"": 30}]",2026-09-05 05:03:10.288831+00
e_1788583683817,2026-09-05,10:42,40,"[{""qty"": 3, ""name"": ""Snacks & Chips"", ""amount"": 40}]",2026-09-05 04:48:04.984785+00
e_1788583338975,2026-09-05,08:54,145,"[{""qty"": 7, ""name"": ""Cigarettes & Tobacco"", ""amount"": 75}, {""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 10}, {""qty"": 5, ""name"": ""Biscuits & Bakery"", ""amount"": 50}, {""qty"": 1, ""name"": ""Snacks & Chips"", ""amount"": 10}]",2026-09-05 04:42:20.349849+00
e_1788582306992,2026-09-05,10:24,60,"[{""qty"": 5, ""name"": ""Biscuits & Bakery"", ""amount"": 50}, {""qty"": 1, ""name"": ""Snacks & Chips"", ""amount"": 10}]",2026-09-05 04:25:07.675195+00
e_1788578914230,2026-09-05,09:15,40,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 25}, {""qty"": 1, ""name"": ""Ice Cream & Frozen"", ""amount"": 10}, {""qty"": 1, ""name"": ""Tea & Coffee"", ""amount"": 5}]",2026-09-05 03:28:32.948582+00
e_1788578099403,2026-09-05,09:10,20,"[{""qty"": 2, ""name"": ""Stationery & Miscellaneous"", ""amount"": 20}]",2026-09-05 03:14:57.779654+00
e_1788577802541,2026-09-05,08:54,12,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 12}]",2026-09-05 03:10:01.268254+00
e_1788576813883,2026-09-05,08:47,50,"[{""qty"": 1, ""name"": ""Dairy & Eggs"", ""amount"": 50}]",2026-09-05 02:53:32.415021+00
e_1788576437164,2026-09-05,08:43,173,"[{""qty"": 12, ""name"": ""Cigarettes & Tobacco"", ""amount"": 103}, {""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 10}, {""qty"": 4, ""name"": ""Biscuits & Bakery"", ""amount"": 40}, {""qty"": 1, ""name"": ""Snacks & Chips"", ""amount"": 10}, {""qty"": 1, ""name"": ""Stationery & Miscellaneous"", ""amount"": 10}]",2026-09-05 02:47:15.544106+00
e_1788524824859,2026-09-04,18:23,15,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}, {""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 5}]",2026-09-04 12:27:03.641644+00
e_1788524631168,2026-09-04,18:21,5,"[{""qty"": 1, ""name"": ""Chocolates & Confectionery"", ""amount"": 5}]",2026-09-04 12:23:50.196597+00
e_1788524484036,2026-09-04,18:15,10,[],2026-09-04 12:21:23.005705+00
e_1788524139583,2026-09-04,18:14,25,"[{""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 25}]",2026-09-04 12:15:38.347199+00
e_1788524063872,2026-09-04,18:13,20,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 20}]",2026-09-04 12:14:22.520905+00
e_1788523990351,2026-09-04,18:12,30,"[{""qty"": 1, ""name"": ""Cold Drinks & Beverages"", ""amount"": 30}]",2026-09-04 12:13:09.409023+00
e_1788523574107,2026-09-04,18:01,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-04 12:06:13.078166+00
e_1788523307925,2026-09-04,17:41,10,"[{""qty"": 1, ""name"": ""Cigarettes & Tobacco"", ""amount"": 10}]",2026-09-04 12:01:47.126459+00
e_1788522087454,2026-09-04,17:37,50,"[{""qty"": 6, ""name"": ""Canned & Packaged Food"", ""amount"": 50}]",2026-09-04 11:41:26.206349+00
e_1788521845260,2026-09-04,17:34,95,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": null}, {""qty"": 2, ""name"": ""Ice Cream & Frozen"", ""amount"": null}]",2026-09-04 11:37:24.651837+00
